index,Name,Smiles,Details,Reference,Year,log10_H2O,diamine_name,diamine_smiles,acyl_chloride_name,acyl_chloride_smiles,,confidence,verification_source
230,control,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4039440,1977,2.96,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Cadotte patent - original MPD-TMC TFC
231,Example 25,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4039440,1977,4.35,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Cadotte patent - original MPD-TMC TFC
232,Example 26,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4039440,1977,20.85,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Cadotte patent - original MPD-TMC TFC
233,Example 27,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4039440,1977,1.04,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Cadotte patent - original MPD-TMC TFC
234,Example 28,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4039440,1977,2.5,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Cadotte patent - original MPD-TMC TFC
235,Example 29,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4039440,1977,9.44,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Cadotte patent - original MPD-TMC TFC
236,Example 30,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4039440,1977,1.3,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Cadotte patent - original MPD-TMC TFC
237,Example 31,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4039440,1977,0.25,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Cadotte patent - original MPD-TMC TFC
238,mLBL-3,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1039/C6TA09962A,2017,4.44,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
239,mLBL-4,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1039/C6TA09962A,2017,3.74,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
240,mLBL-5,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1039/C6TA09962A,2017,3.13,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
241,mLBL-6,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1039/C6TA09962A,2017,2.58,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
242,SW30XHR-440,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",https://www.dupont.com/content/dam/dupont/amer/us/en/water-solutions/public/documents/en/45-D00970-en.pdf,2020,1.15,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
243,SW30HRLE-400,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",https://www.dupont.com/content/dam/dupont/amer/us/en/water-solutions/public/documents/en/45-D00967-en.pdf,2020,1.35,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
244,Example 1,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.55,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
245,Example 2,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.51,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
246,Example 3,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.05,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
247,Example 4,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,1.99,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
248,Example 5,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.82,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
249,Comp. A,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,0.69,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
250,Example 7,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.65,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
251,Example 6,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.51,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
252,Example 9,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.51,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
253,Example 10,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.64,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
254,Comp. B,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,0.76,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
255,Example 11,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.25,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
256,Comp. C,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,1.92,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
257,Example 12,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.34,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
258,Example 13,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.12,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
259,Example 14,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.39,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
260,Example 15,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.09,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
261,Comp. D,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,1.67,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
262,Example 16,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,1.95,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
263,Example 17,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,1.89,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
264,Example 18,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
265,Example 19,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.78,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
266,Comp. E,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,1.78,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
267,Example 20,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.33,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
268,Comp. F,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,0.7,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
269,Example 21,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.46,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
270,Example 22,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,1.76,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
271,Comp. G,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,0.32,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
272,Example 23,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,3.4,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
273,Example 24,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.54,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
274,Comp. H,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,1.26,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
275,Example 25,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.45,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
276,Comp. I,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.05,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
277,Example 26,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.55,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
278,Example 27,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.89,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
279,Example 28,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.38,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
280,Example 29,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.64,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
281,Comp. J,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,0.61,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
282,Example 30,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,3.33,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
283,Comp. K,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,0.95,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
284,Comp. L,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,1.52,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
285,Example 31,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.8,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
286,Example 32,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,2.7,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
287,Comp. M,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4872984,1989,0.76,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Polyamide TFC patent
288,M1,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,2.97,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
289,M2,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,2.76,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
290,M3,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,2.73,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
291,M4,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,2.99,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
292,M5,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,2.86,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
293,M6,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,2.57,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
294,M7,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,3.67,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
295,M8,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,3.69,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
296,M9,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,3.29,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
297,M10,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,3.93,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
298,M11,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,3.38,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
299,M12,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/app.44444,2017,3.25,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,J Appl Polym Sci - PA modification
300,TFC-116,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.09.003,2011,5.32,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Rangarajan - CSMCRI TFC development
301,TFC-99 (2% DMF),*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.09.003,2011,4.22,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Rangarajan - CSMCRI TFC development
302,TFC-101 (6% DMF),*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.09.003,2011,4.17,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Rangarajan - CSMCRI TFC development
303,TFC-103 (10% DMF),*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.09.003,2011,4.41,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Rangarajan - CSMCRI TFC development
304,SW30XLE-400,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",https://www.dupont.com/content/dam/dupont/amer/us/en/water-solutions/public/documents/en/45-D00972-en.pdf,2020,2.18,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
305,SW30HRLE-4040,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",https://www.dupont.com/content/dam/dupont/amer/us/en/water-solutions/public/documents/en/45-D01527-en.pdf,2020,1.62,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
306,SWC4-LD,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",https://membranes.com/wp-content/uploads/Documents/Element-Specification-Sheets/RO/SWC/SWC4-LD.pdf,2021,1.29,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
307,SWC4-MAX,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",https://membranes.com/wp-content/uploads/Documents/Element-Specification-Sheets/RO/SWC/SWC4-MAX.pdf,2021,1.31,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
308,mlbl0,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/adma.201302030,2013,3.46,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
309,mlbl1,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1002/adma.201302030,2013,2.17,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,MEDIUM,Chemistry-based default
